country_name,country_map
Afghanistan,
Albania,
Algeria,
Angola,
Antigua &#38; Barbuda,Antigua
Argentina,
Armenia,
Aruba,
Australia,
Austria,
Azerbaijan,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,
Belgium,
Belize,
Benin,
Bhutan,
Bolivia (Plurinational State of),Bolivia
Bosnia and Herzegovina,
Botswana,
Brazil,
Brunei Darussalam,
Bulgaria,
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cabo Verde,Cabo Verde
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comoros,
Congo,Republic of the Congo
Democratic Republic of the Congo,
Costa Rica,
C&#244;te d'Ivoire,Ivory Coast
Croatia,
Cuba,
Cyprus,
Czechia,Czechia
Denmark,
Djibouti,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,
Ethiopia,
Fiji,
Finland,
France,
French Guiana,
French Polynesia,
Gabon,
Gambia,
Georgia,
Germany,
Ghana,
Greece,
Grenada,
Guam,
Guatemala,
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Honduras,
Hong Kong,
Hungary,
Iceland,
India,
Indonesia,
Iran (Islamic Republic of),Iran
Iraq,
Ireland,
Israel,
Italy,
Jamaica,
Japan,
Jordan,
Kazakhstan,
Kenya,
Kiribati,
Democratic People's Republic of Korea,North Korea
Republic of Korea,South Korea
Kuwait,
Kyrgyzstan,
Lao People's Democratic Republic,Laos
Latvia,
Lebanon,
Lesotho,
Liberia,
Libya,
Lithuania,
Luxembourg,
Macau,
North Macedonia,Macedonia
Madagascar,
Malawi,
Malaysia,
Maldives,
Mali,
Malta,
Mauritania,
Mauritius,
Mexico,
"Micronesia, Federated States Of",
Republic of Moldova,Moldova
Mongolia,
Montenegro,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Norway,
Oman,
Pakistan,
Palestine,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,
Portugal,
Puerto Rico,
Qatar,
Roumania,Romania
Russian Federation,Russia
Rwanda,
Saint Lucia,
Saint Vincent And The Grenadines,
Sao Tome And Principe,
Saudi Arabia,
Senegal,
Serbia,Republic of Serbia
Seychelles,
Sierra Leone,
Singapore,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,
South Sudan,
Spain,
Sri Lanka,
Sudan,
Suriname,
Swaziland,
Sweden,
Switzerland,
Syrian Arab Republic,Syria
Taiwan (Province of China),Taiwan
Tajikistan,
United Republic of Tanzania,United Republic of Tanzania
Thailand,
Timor Leste,Timor-Leste
Togo,
Tonga,
Trinidad and Tobago,Trinidad and Tobago
Tunisia,
Turkey,
Turkmenistan,
Uganda,
Ukraine,
United Arab Emirates,
United Kingdom,United Kingdom
United States of America,USA
Uruguay,
Uzbekistan,
Vanuatu,
Venezuela (Bolivarian Republic of),Venezuela
Viet Nam,Vietnam
"Virgin Islands, U.s.",Virgin Islands
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
